# Picard curves over Q(zeta_3):  y^3 = f(x),  f(x) = x^4 + (a2+b2*w)*x^2 + (a1+b1*w)*x + (a0+b0*w),  w = e^(2*pi*i/3)
# Output format:  N(disc(f)):[a0,b0,a1,b1,a2,b2]  where  N(disc(f)) = disc_re^2 - disc_re*disc_im + disc_im^2
87877:[0,1,0,1,0,-1]
108237:[1,1,0,-1,0,1]
41797:[1,0,0,1,0,-1]
699469:[1,2,0,-1,0,1]
607621:[-2,-2,-2,-1,1,-2]
73177:[1,0,0,1,0,0]
195237:[-1,-1,-2,-1,1,-2]
59353:[1,1,0,1,0,0]
388389:[1,1,0,1,0,-1]
123136:[-1,-1,0,0,0,1]
749497:[-1,1,1,0,0,2]
872704:[-2,-1,0,2,0,-1]
308793:[0,-1,1,0,0,2]
18688:[-1,0,0,0,0,1]
103417:[0,0,1,0,0,2]
960768:[-1,-2,0,2,0,0]
401413:[0,-1,-2,-1,1,-2]
16384:[-1,-1,0,2,0,-1]
938425:[0,1,1,0,0,2]
362752:[-1,-1,0,2,0,0]
780741:[0,0,-2,-1,1,-2]
406272:[-1,1,0,0,0,1]
869157:[1,0,-2,-1,1,-2]
203008:[0,-1,0,0,0,1]
381433:[1,0,1,0,0,2]
389376:[-1,0,0,2,0,-1]
805093:[1,1,-2,-1,1,-2]
141568:[-1,0,0,2,0,0]
18688:[0,1,0,0,0,1]
452377:[-1,-1,1,1,0,2]
960768:[-1,1,0,2,0,0]
203008:[1,0,0,0,0,1]
246784:[-1,1,0,2,0,-1]
644025:[-1,0,1,1,0,2]
141568:[0,-1,0,2,0,0]
69888:[0,-1,0,2,0,-1]
474112:[-2,0,-2,0,1,-2]
858393:[0,-1,1,1,0,2]
323328:[-1,0,-2,0,1,-2]
285952:[0,0,0,2,0,-1]
652288:[0,0,-2,0,1,-2]
72448:[1,0,0,2,0,-1]
77497:[0,0,1,1,0,2]
113233:[-2,-1,1,-2,0,-1]
969472:[1,0,-2,0,1,-2]
491449:[1,0,1,1,0,2]
750529:[-1,-1,1,-2,0,-1]
398937:[1,1,1,1,0,2]
186624:[0,0,0,2,0,0]
300213:[-1,0,-2,1,1,-2]
362752:[0,1,0,2,0,0]
44937:[-1,-1,1,2,0,2]
123136:[1,1,0,0,0,1]
641097:[0,0,1,2,0,2]
135181:[-1,-1,0,1,0,1]
120657:[-1,0,1,-2,0,-1]
302869:[0,0,-2,1,1,-2]
412209:[0,-1,1,-2,0,-1]
31629:[-1,0,0,1,0,1]
249600:[1,-1,-2,2,1,-2]
604429:[-1,1,0,1,0,1]
265993:[1,1,1,2,0,2]
308161:[0,0,1,-2,0,-1]
946953:[0,0,-1,-2,1,-2]
921337:[0,-2,2,-1,0,2]
182637:[0,-1,0,1,0,1]
691641:[0,1,-1,-2,1,-2]
246016:[-2,0,2,0,0,2]
362752:[1,0,0,2,0,0]
858529:[1,-1,1,-2,0,-1]
776749:[-1,-1,-1,-1,1,-2]
25837:[0,0,0,1,0,1]
696576:[-1,0,2,0,0,2]
338637:[0,-1,-1,-1,1,-2]
83053:[0,1,0,1,0,1]
141568:[1,1,0,2,0,0]
652081:[1,0,1,-2,0,-1]
991488:[0,-1,2,0,0,2]
83293:[0,0,-1,-1,1,-2]
328753:[2,1,1,-2,0,-1]
960768:[2,1,0,2,0,0]
14313:[-2,2,2,1,0,2]
805357:[0,1,-1,-1,1,-2]
620713:[-1,0,2,1,0,2]
373069:[1,0,0,1,0,1]
881733:[-2,-1,1,-1,0,-1]
108237:[1,1,0,1,0,1]
711081:[0,0,2,1,0,2]
699469:[1,2,0,1,0,1]
86697:[1,0,2,1,0,2]
746809:[-2,0,1,-2,0,0]
212989:[1,0,-1,-1,1,-2]
906496:[-2,0,0,2,0,1]
796557:[1,1,-1,-1,1,-2]
209152:[-1,-2,0,2,0,1]
65781:[-1,-1,1,-1,0,-1]
788736:[-1,0,0,2,0,1]
80197:[-1,0,1,-1,0,-1]
626944:[0,0,2,2,0,2]
321097:[-2,-1,-1,0,1,-2]
830613:[-1,1,1,-1,0,-1]
762112:[1,0,2,2,0,2]
919296:[0,-1,0,2,0,1]
545536:[-1,0,-2,-2,1,-1]
249253:[0,-1,1,-1,0,-1]
494473:[-1,-1,-1,0,1,-2]
769792:[0,0,0,2,0,1]
693504:[0,-2,-2,-2,1,-1]
746809:[0,-2,1,-2,0,0]
795648:[1,1,0,2,0,1]
38133:[0,0,1,-1,0,-1]
650937:[-1,0,-1,0,1,-2]
645957:[0,1,1,-1,0,-1]
794313:[0,-1,-1,0,1,-2]
742144:[1,2,0,2,0,1]
52389:[1,0,1,-1,0,-1]
936049:[-2,0,1,-2,0,1]
374773:[1,1,1,-1,0,-1]
311296:[0,-1,-2,-2,1,-1]
59641:[0,0,-1,0,1,-2]
884893:[-2,0,1,-1,0,1]
38713:[1,0,-1,0,1,-2]
877824:[0,0,-2,-2,1,-1]
732009:[1,1,-1,0,1,-2]
952081:[-1,-2,1,0,0,-1]
272797:[-1,0,-1,1,1,-2]
746809:[2,2,1,-2,0,0]
867421:[-1,-1,1,-1,0,1]
308349:[0,0,-1,1,1,-2]
297037:[-1,0,1,-1,0,1]
251136:[1,-1,-2,-2,1,-1]
863325:[1,0,-1,1,1,-2]
17953:[-1,-1,1,0,0,-1]
615117:[2,1,-1,1,1,-2]
26893:[0,-1,1,-1,0,1]
710073:[-1,0,-1,2,1,-2]
18993:[-1,0,1,0,0,-1]
463869:[0,0,1,-1,0,1]
126993:[0,-1,1,0,0,-1]
292608:[1,2,-2,-2,1,-1]
186793:[-1,-1,1,-1,0,0]
742381:[0,1,1,-1,0,1]
150528:[-1,0,0,-2,1,-2]
62377:[-1,0,1,-1,0,0]
61893:[-1,-2,-2,-1,1,-1]
17953:[0,0,1,0,0,-1]
62377:[0,-1,1,-1,0,0]
569829:[-1,0,0,-1,1,-2]
843181:[1,0,1,-1,0,1]
869925:[-1,-1,-2,-1,1,-1]
59049:[0,0,1,-1,0,0]
102277:[-1,0,-2,-1,1,-1]
869061:[0,-1,0,-1,1,-2]
600717:[1,2,1,-1,0,1]
186793:[0,1,1,-1,0,0]
317233:[0,1,1,0,0,-1]
306373:[0,-1,-2,-1,1,-1]
217969:[-1,-1,1,0,0,1]
186793:[1,0,1,-1,0,0]
25281:[-1,0,1,0,0,1]
62377:[1,1,1,-1,0,0]
641809:[-1,1,1,0,0,1]
281637:[0,0,-2,-1,1,-1]
130321:[1,0,1,0,0,-1]
65797:[0,0,0,-1,1,-2]
52441:[-1,-1,1,0,0,0]
58401:[1,1,1,0,0,-1]
351013:[1,0,0,-1,1,-2]
969733:[-2,-1,1,1,0,-1]
159969:[0,-1,1,0,0,1]
838309:[-1,-2,1,1,0,-1]
80089:[-1,0,1,0,0,0]
977664:[-2,-1,0,0,1,-2]
90421:[-1,-1,1,1,0,-1]
776448:[-1,-1,0,0,1,-2]
730821:[1,0,-2,-1,1,-1]
26161:[0,0,1,0,0,1]
71877:[-1,0,1,1,0,-1]
762112:[-1,0,0,0,1,-2]
36481:[0,1,1,0,0,1]
578341:[1,1,-2,-1,1,-1]
620800:[0,-1,0,0,1,-2]
882129:[0,2,1,0,0,1]
5733:[0,-1,1,1,0,-1]
57600:[1,0,0,0,1,-2]
969472:[-1,0,-2,0,1,-1]
114337:[1,0,1,0,0,1]
29941:[0,0,1,1,0,-1]
193536:[0,0,-2,0,1,-1]
80089:[0,-1,1,0,0,0]
489216:[1,0,-2,0,1,-1]
729:[0,0,1,0,0,0]
569829:[-1,0,0,1,1,-2]
52441:[0,1,1,0,0,0]
869061:[0,-1,0,1,1,-2]
52441:[1,0,1,0,0,0]
295029:[0,0,-2,1,1,-1]
65797:[0,0,0,1,1,-2]
961749:[0,1,-2,1,1,-1]
80089:[1,1,1,0,0,0]
620121:[1,1,-1,-2,-1,1]
73177:[-1,-1,1,1,0,0]
127621:[0,1,1,1,0,-1]
668853:[1,-1,-2,1,1,-1]
59353:[-1,0,1,1,0,0]
351013:[1,0,0,1,1,-2]
16681:[2,2,-1,-2,-1,1]
150528:[-1,0,0,2,1,-2]
59353:[0,-1,1,1,0,0]
354837:[1,0,-2,1,1,-1]
652437:[-2,-1,-1,-1,-1,1]
729:[0,0,1,1,0,0]
159301:[-1,-1,-1,-1,-1,1]
796617:[-2,-1,-1,-2,1,-1]
232741:[1,0,1,1,0,-1]
381657:[-1,-1,-1,-2,1,-1]
710073:[-1,0,1,-2,1,-2]
56325:[-1,0,-1,-1,-1,1]
73177:[0,1,1,1,0,0]
375193:[-1,0,-1,-2,1,-1]
411381:[0,-1,-1,-1,-1,1]
227253:[1,1,1,1,0,-1]
186601:[0,-1,-1,-2,1,-1]
73177:[1,0,1,1,0,0]
9909:[0,0,-1,-1,-1,1]
59353:[1,1,1,1,0,0]
307881:[0,0,-1,-2,1,-1]
449121:[-2,-1,1,2,0,-1]
272797:[-1,0,1,-1,1,-2]
150993:[-1,-1,1,2,0,-1]
308349:[0,0,1,-1,1,-2]
650977:[-1,0,1,2,0,-1]
169:[-1,-1,1,2,0,0]
138613:[0,1,-1,-1,-1,1]
228969:[0,1,-1,-2,1,-1]
126529:[0,-1,1,2,0,-1]
281701:[1,0,-1,-1,-1,1]
249001:[-1,0,1,2,0,0]
863325:[1,0,1,-1,1,-2]
249001:[0,-1,1,2,0,0]
125733:[1,1,-1,-1,-1,1]
890361:[1,-1,-1,-2,1,-1]
361809:[0,0,1,2,0,-1]
692181:[2,1,-1,-1,-1,1]
411489:[0,1,1,2,0,-1]
615117:[2,1,1,-1,1,-2]
306217:[-1,-1,-1,0,-1,1]
59049:[0,0,1,2,0,0]
19497:[-1,0,-1,0,-1,1]
917617:[0,2,1,2,0,-1]
683193:[1,0,-1,-2,1,-1]
980913:[1,-1,1,2,0,-1]
169:[0,1,1,2,0,0]
274113:[1,0,1,2,0,-1]
321097:[-2,-1,1,0,1,-2]
361417:[2,0,-1,-2,1,-1]
515541:[-1,0,2,-1,0,-1]
852237:[-1,-2,-1,-1,1,-1]
244089:[0,-1,-1,0,-1,1]
169:[1,0,1,2,0,0]
20601:[0,0,-1,0,-1,1]
249001:[1,1,1,2,0,0]
260533:[0,0,2,-1,0,-1]
119469:[-1,-1,-1,-1,1,-1]
11641:[0,1,-1,0,-1,1]
494473:[-1,-1,1,0,1,-2]
768256:[1,-2,2,-2,0,0]
678613:[0,1,2,-1,0,-1]
17353:[1,0,-1,0,-1,1]
98361:[-2,-1,2,-1,0,0]
650937:[-1,0,1,0,1,-2]
872821:[1,-1,2,-1,0,-1]
794313:[0,-1,1,0,1,-2]
73549:[-1,0,-1,-1,1,-1]
171157:[1,0,2,-1,0,-1]
265161:[1,1,-1,0,-1,1]
98361:[1,-1,2,-1,0,0]
17725:[0,-1,-1,-1,1,-1]
59641:[0,0,1,0,1,-2]
125877:[1,1,2,-1,0,-1]
23517:[0,0,-1,-1,1,-1]
929989:[-1,-1,-1,1,-1,1]
38713:[1,0,1,0,1,-2]
342909:[0,1,-1,-1,1,-1]
98361:[1,2,2,-1,0,0]
971469:[1,-1,-1,-1,1,-1]
181317:[-1,0,-1,1,-1,1]
331776:[-2,-2,2,0,0,-1]
32949:[0,-1,-1,1,-1,1]
732009:[1,1,1,0,1,-2]
75117:[1,0,-1,-1,1,-1]
562432:[-1,-1,2,0,0,-1]
776749:[-1,-1,1,1,1,-2]
128269:[1,1,-1,-1,1,-1]
30976:[-1,-1,2,0,0,0]
338637:[0,-1,1,1,1,-2]
258816:[-1,0,2,0,0,-1]
386613:[0,0,-1,1,-1,1]
83293:[0,0,1,1,1,-2]
975541:[0,1,-1,1,-1,1]
265216:[0,0,2,0,0,-1]
23241:[-1,-1,-1,0,1,-1]
966400:[0,1,2,0,0,-1]
578341:[1,0,-1,1,-1,1]
173824:[1,0,2,0,0,-1]
422181:[1,2,-1,1,-1,1]
805357:[0,1,1,1,1,-2]
306432:[-1,-2,0,-2,-1,1]
137737:[-1,0,-1,0,1,-1]
765696:[-1,0,0,-2,-1,1]
148441:[0,-1,-1,0,1,-1]
251136:[1,1,2,0,0,-1]
700416:[0,-1,0,-2,-1,1]
12825:[0,0,-1,0,1,-1]
473344:[-1,0,2,0,0,0]
628992:[0,0,0,-2,-1,1]
5637:[-1,-2,2,1,0,-1]
60013:[-1,-1,0,-1,-1,1]
567333:[-1,-1,2,1,0,-1]
18093:[-1,0,0,-1,-1,1]
212989:[1,0,1,1,1,-2]
151621:[-1,0,2,1,0,-1]
524889:[0,1,-1,0,1,-1]
473344:[0,-1,2,0,0,0]
109353:[1,0,-1,0,1,-1]
231021:[0,-1,0,-1,-1,1]
186624:[0,0,2,0,0,0]
796557:[1,1,1,1,1,-2]
19629:[0,0,0,-1,-1,1]
475909:[0,-1,2,1,0,-1]
30976:[0,1,2,0,0,0]
946953:[0,0,1,2,1,-2]
353061:[0,0,2,1,0,-1]
246253:[0,1,0,-1,-1,1]
691641:[0,1,1,2,1,-2]
30976:[1,0,2,0,0,0]
122473:[1,1,-1,0,1,-1]
226477:[1,0,0,-1,-1,1]
962937:[2,1,-1,0,1,-1]
76269:[1,1,0,-1,-1,1]
520653:[-1,-1,-1,1,1,-1]
473344:[1,1,2,0,0,0]
249600:[1,-1,2,-2,1,-2]
482221:[-1,0,-1,1,1,-1]
300213:[-1,0,2,-1,1,-2]
186793:[-1,-1,2,1,0,0]
765189:[1,0,2,1,0,-1]
302869:[0,0,2,-1,1,-2]
723501:[1,2,0,-1,-1,1]
474112:[-2,0,2,0,1,-2]
62377:[-1,0,2,1,0,0]
323328:[-1,0,2,0,1,-2]
62377:[0,-1,2,1,0,0]
116992:[-1,-1,0,0,-1,1]
337693:[0,-1,-1,1,1,-1]
59049:[0,0,2,1,0,0]
171301:[1,1,2,1,0,-1]
652288:[0,0,2,0,1,-2]
14592:[-1,0,0,0,-1,1]
19197:[0,0,-1,1,1,-1]
768256:[-2,-1,2,2,0,-1]
751581:[0,1,-1,1,1,-1]
772864:[0,-2,2,2,0,-1]
186793:[0,1,2,1,0,0]
969472:[1,0,2,0,1,-2]
278784:[0,-1,0,0,-1,1]
444672:[0,-1,2,2,0,-1]
186793:[1,0,2,1,0,0]
358221:[1,0,-1,1,1,-1]
62377:[1,1,2,1,0,0]
80253:[2,1,-1,1,1,-1]
130816:[1,2,2,2,0,-1]
73984:[0,1,0,0,-1,1]
607621:[-2,-2,2,1,1,-2]
960768:[-2,-1,2,2,0,0]
116992:[1,0,0,0,-1,1]
195237:[-1,-1,2,1,1,-2]
633433:[0,-1,-1,2,1,-1]
14592:[1,1,0,0,-1,1]
748288:[-1,-1,-2,-2,1,0]
362752:[-1,-1,2,2,0,0]
401413:[0,-1,2,1,1,-2]
141568:[-1,0,2,2,0,0]
60013:[-1,-1,0,1,-1,1]
141568:[0,-1,2,2,0,0]
18093:[-1,0,0,1,-1,1]
31744:[-1,0,-2,-2,1,0]
231021:[0,-1,0,1,-1,1]
210688:[0,-1,-2,-2,1,0]
780741:[0,0,2,1,1,-2]
19629:[0,0,0,1,-1,1]
869157:[1,0,2,1,1,-2]
246253:[0,1,0,1,-1,1]
805093:[1,1,2,1,1,-2]
226477:[1,0,0,1,-1,1]
452352:[0,-1,2,2,1,-2]
76269:[1,1,0,1,-1,1]
186624:[0,0,2,2,0,0]
179968:[0,0,-2,-2,1,0]
723501:[1,2,0,1,-1,1]
522496:[0,1,-2,-2,1,0]
306432:[-1,-2,0,2,-1,1]
437913:[0,0,-1,2,1,-1]
77056:[1,-1,-2,-2,1,0]
765696:[-1,0,0,2,-1,1]
36864:[-2,-1,0,-2,1,-1]
700416:[0,-1,0,2,-1,1]
362752:[0,1,2,2,0,0]
628992:[0,0,0,2,-1,1]
388864:[1,-1,2,2,1,-2]
521472:[-1,-1,0,-2,1,-1]
929989:[-1,-1,1,-1,-1,1]
163072:[-1,0,0,-2,1,-1]
181317:[-1,0,1,-1,-1,1]
80896:[0,-1,0,-2,1,-1]
744448:[1,0,-2,-2,1,0]
54016:[-1,-1,-2,-2,1,1]
642304:[1,1,-2,-2,1,0]
32949:[0,-1,1,-1,-1,1]
299008:[1,2,-2,-2,1,0]
386613:[0,0,1,-1,-1,1]
580989:[-1,-2,-2,-1,1,0]
975541:[0,1,1,-1,-1,1]
562653:[-1,-1,-2,-1,1,0]
960768:[1,-1,2,2,0,0]
255744:[0,0,0,-2,1,-1]
499968:[-1,0,-2,-2,1,1]
838656:[0,1,0,-2,1,-1]
578341:[1,0,1,-1,-1,1]
626949:[-2,-1,0,-1,1,-1]
604477:[-1,0,-2,-1,1,0]
116992:[-1,1,-2,-2,1,1]
362752:[1,0,2,2,0,0]
422181:[1,2,1,-1,-1,1]
20029:[0,-1,-2,-1,1,0]
75621:[-1,-1,0,-1,1,-1]
306217:[-1,-1,1,0,-1,1]
740352:[0,-1,-2,-2,1,1]
141568:[1,1,2,2,0,0]
189829:[-1,0,0,-1,1,-1]
62109:[0,0,-2,-1,1,0]
105925:[0,-1,0,-1,1,-1]
960768:[1,2,2,2,0,0]
19497:[-1,0,1,0,-1,1]
191997:[0,1,-2,-1,1,0]
429312:[-1,-1,-2,-2,1,2]
244089:[0,-1,1,0,-1,1]
628992:[0,0,-2,-2,1,2]
763293:[1,-1,-2,-1,1,0]
20601:[0,0,1,0,-1,1]
187392:[1,0,-2,-2,1,2]
13797:[0,0,0,-1,1,-1]
388864:[1,1,-2,-2,1,2]
249597:[1,0,-2,-1,1,0]
143109:[0,1,0,-1,1,-1]
515061:[-2,-1,-2,-1,1,2]
33861:[1,0,0,-1,1,-1]
601941:[-1,-1,-2,-1,1,2]
523621:[1,1,0,-1,1,-1]
666549:[0,0,-2,-1,1,2]
18688:[0,0,-2,-2,1,1]
960453:[2,1,0,-1,1,-1]
495616:[0,1,-2,-2,1,1]
24925:[1,1,-2,-1,1,0]
72448:[1,0,-2,-2,1,1]
14592:[-1,-1,0,0,1,-1]
110613:[1,0,-2,-1,1,2]
116992:[-1,0,0,0,1,-1]
403200:[-2,-1,-2,0,1,2]
11641:[0,1,1,0,-1,1]
69888:[1,1,-2,-2,1,1]
73984:[0,-1,0,0,1,-1]
5733:[-1,-1,-2,-1,1,1]
695296:[-2,-2,-2,0,1,0]
278784:[0,1,0,0,1,-1]
946789:[-1,0,-2,-1,1,1]
17353:[1,0,1,0,-1,1]
626944:[0,-1,-2,0,1,2]
265161:[1,1,1,0,-1,1]
822117:[-1,1,-2,-1,1,1]
652437:[-2,-1,1,1,-1,1]
968448:[1,0,-2,0,1,2]
14592:[1,0,0,0,1,-1]
159301:[-1,-1,1,1,-1,1]
522496:[-1,-1,-2,0,1,0]
268933:[0,-1,-2,-1,1,1]
56325:[-1,0,1,1,-1,1]
671877:[0,-2,-2,1,1,2]
132741:[0,0,-2,-1,1,1]
408832:[0,-1,-2,0,1,0]
116992:[1,1,0,0,1,-1]
411381:[0,-1,1,1,-1,1]
471429:[0,1,-2,-1,1,1]
626949:[-2,-1,0,1,1,-1]
200704:[0,0,-2,0,1,0]
75621:[-1,-1,0,1,1,-1]
34048:[0,1,-2,0,1,0]
189829:[-1,0,0,1,1,-1]
73984:[1,0,-2,0,1,0]
52389:[1,0,-2,-1,1,1]
12544:[1,1,-2,0,1,0]
249253:[1,1,-2,-1,1,1]
194989:[1,-1,-2,1,1,0]
9909:[0,0,1,1,-1,1]
744937:[-2,1,-1,-2,1,2]
105925:[0,-1,0,1,1,-1]
138613:[0,1,1,1,-1,1]
160329:[-1,-1,-1,-2,1,2]
281701:[1,0,1,1,-1,1]
692793:[0,0,-1,-2,1,2]
542464:[-1,-1,-2,0,1,1]
156457:[1,1,-1,-2,1,2]
13797:[0,0,0,1,1,-1]
826381:[1,0,-2,1,1,0]
527616:[0,-1,-2,0,1,1]
125733:[1,1,1,1,-1,1]
415597:[1,1,-2,1,1,0]
744448:[0,0,-2,0,1,1]
143109:[0,1,0,1,1,-1]
404269:[2,2,-2,1,1,0]
331776:[0,2,-2,0,1,1]
33861:[1,0,0,1,1,-1]
173824:[1,0,-2,0,1,1]
278721:[-1,-1,-1,-2,1,0]
857869:[-2,1,-1,-1,1,2]
692181:[2,1,1,1,-1,1]
39601:[-1,0,-1,-2,1,0]
136737:[-1,-1,-1,-2,1,1]
111117:[-1,-1,-1,-1,1,2]
309225:[-2,-2,1,2,-1,1]
265633:[-1,0,-1,-2,1,1]
419257:[-1,-1,1,2,-1,1]
837921:[-1,1,-1,-2,1,1]
423993:[-1,0,1,2,-1,1]
340957:[-1,0,-1,-1,1,2]
523621:[1,1,0,1,1,-1]
671661:[-1,1,-1,-1,1,2]
657081:[-1,1,1,2,-1,1]
898609:[0,-1,-1,-2,1,1]
97929:[0,0,1,2,-1,1]
77949:[0,0,-1,-1,1,2]
141489:[0,0,-1,-2,1,1]
555529:[0,1,1,2,-1,1]
428337:[0,1,-1,-2,1,1]
960453:[2,1,0,1,1,-1]
181633:[0,-1,-1,-2,1,0]
274113:[1,0,-1,-2,1,1]
725977:[1,0,1,2,-1,1]
126529:[1,1,-1,-2,1,1]
36864:[-2,-1,0,2,1,-1]
869457:[2,1,-1,-2,1,1]
53361:[0,0,-1,-2,1,0]
63973:[-1,-1,-1,-1,1,1]
22113:[0,1,-1,-2,1,0]
553293:[0,1,-1,-1,1,2]
521472:[-1,-1,0,2,1,-1]
131877:[-1,0,-1,-1,1,1]
163072:[-1,0,0,2,1,-1]
448357:[-1,1,-1,-1,1,1]
589341:[1,0,-1,-1,1,2]
269361:[1,0,-1,-2,1,0]
206317:[1,1,-1,-1,1,2]
620121:[1,1,1,2,-1,1]
80896:[0,-1,0,2,1,-1]
284277:[0,-1,-1,-1,1,1]
16681:[2,2,1,2,-1,1]
950841:[-2,-1,-1,0,1,2]
255744:[0,0,0,2,1,-1]
726817:[1,1,-1,-2,1,0]
13237:[0,0,-1,-1,1,1]
838656:[0,1,0,2,1,-1]
938217:[-2,0,-1,0,1,2]
73717:[0,1,-1,-1,1,1]
633181:[-2,0,2,-1,-1,1]
41797:[1,0,-1,-1,1,1]
633433:[0,-1,1,-2,1,-1]
587421:[1,-1,2,-1,-1,1]
59781:[1,1,-1,-1,1,1]
886528:[-1,-1,2,0,-1,1]
109297:[-1,-1,-1,0,1,1]
254208:[-1,0,2,0,-1,1]
498297:[-1,-1,-1,0,1,2]
624384:[0,-1,2,0,-1,1]
179697:[-1,0,-1,0,1,1]
691200:[0,0,2,0,-1,1]
223729:[2,0,-1,-2,1,0]
175104:[0,2,2,0,-1,1]
437913:[0,0,1,-2,1,-1]
138753:[0,-1,-1,0,1,1]
212269:[-1,-1,-1,-1,1,0]
520653:[-1,-1,1,-1,1,-1]
43561:[-1,0,-1,0,1,2]
482221:[-1,0,1,-1,1,-1]
397017:[-1,1,-1,0,1,2]
159744:[2,0,2,0,-1,1]
24577:[0,0,-1,0,1,1]
337693:[0,-1,1,-1,1,-1]
641421:[-2,-1,2,1,-1,1]
19197:[0,0,1,-1,1,-1]
677001:[-1,2,-1,0,1,2]
108637:[-1,0,-1,-1,1,0]
730189:[-1,-1,2,1,-1,1]
751581:[0,1,1,-1,1,-1]
47181:[-1,0,2,1,-1,1]
24577:[0,1,-1,0,1,1]
829773:[-1,1,2,1,-1,1]
42061:[0,-1,-1,-1,1,0]
300217:[0,-1,-1,0,1,2]
637:[0,0,-1,-1,1,0]
130321:[1,0,-1,0,1,1]
128173:[0,1,-1,-1,1,0]
340749:[0,-1,2,1,-1,1]
801901:[1,-1,-1,-1,1,0]
358221:[1,0,1,-1,1,-1]
126993:[1,1,-1,0,1,1]
28573:[1,0,-1,-1,1,0]
124173:[0,0,2,1,-1,1]
80253:[2,1,1,-1,1,-1]
952081:[1,2,-1,0,1,1]
23241:[-1,-1,1,0,1,-1]
102249:[0,0,-1,0,1,2]
60109:[1,1,-1,-1,1,0]
137737:[-1,0,1,0,1,-1]
419341:[0,1,2,1,-1,1]
34321:[-1,-1,-1,0,1,0]
387093:[-2,-1,-1,1,1,1]
330625:[-1,0,-1,0,1,0]
775117:[1,0,2,1,-1,1]
55633:[0,-1,-1,0,1,0]
148441:[0,-1,1,0,1,-1]
526617:[0,1,-1,0,1,2]
351117:[2,1,2,1,-1,1]
918117:[-1,-1,-1,1,1,1]
340992:[-2,-1,2,2,-1,1]
12825:[0,0,1,0,1,-1]
961:[0,0,-1,0,1,0]
727909:[-1,0,-1,1,1,1]
524889:[0,1,1,0,1,-1]
350976:[-1,0,2,2,-1,1]
94513:[0,1,-1,0,1,0]
109353:[1,0,1,0,1,-1]
66049:[1,0,-1,0,1,0]
838656:[0,-1,2,2,-1,1]
65461:[0,-1,-1,1,1,1]
122473:[1,1,1,0,1,-1]
14449:[1,1,-1,0,1,0]
447669:[0,0,-1,1,1,1]
962937:[2,1,1,0,1,-1]
785577:[1,0,-1,0,1,2]
784173:[-2,-1,-1,1,1,0]
6912:[0,0,2,2,-1,1]
737373:[-2,0,-1,1,1,2]
652288:[0,1,2,2,-1,1]
852237:[-1,-2,1,1,1,-1]
955648:[1,0,2,2,-1,1]
119469:[-1,-1,1,1,1,-1]
212557:[0,-1,-1,1,1,2]
972981:[0,1,-1,1,1,1]
265869:[-1,-1,-1,1,1,0]
786688:[-1,-1,-2,-2,2,-2]
604477:[-1,0,-1,1,1,0]
696576:[1,1,-2,-2,2,-2]
73549:[-1,0,1,1,1,-1]
105709:[0,-1,-1,1,1,0]
765189:[1,0,-1,1,1,1]
17725:[0,-1,1,1,1,-1]
62109:[0,0,-1,1,1,0]
23517:[0,0,1,1,1,-1]
307881:[0,0,-2,-1,2,-2]
302157:[0,1,-1,1,1,0]
475909:[1,1,-1,1,1,1]
249597:[1,0,-1,1,1,0]
342909:[0,1,1,1,1,-1]
974473:[1,0,-2,-1,2,-2]
971469:[1,-1,1,1,1,-1]
949248:[-1,-2,0,-2,1,2]
131328:[0,0,-2,0,2,-2]
84397:[1,1,-1,1,1,0]
56889:[0,0,-2,1,2,-2]
481269:[-2,0,0,-1,1,2]
75117:[1,0,1,1,1,-1]
517833:[0,0,-1,-2,2,-2]
5637:[1,2,-1,1,1,1]
208533:[-1,-1,0,-1,1,2]
378381:[2,1,-1,1,1,0]
128269:[1,1,1,1,1,-1]
36153:[0,0,-1,-1,2,-2]
929473:[0,-2,-1,2,1,0]
20601:[0,0,-1,0,2,-2]
679168:[-1,-1,0,-2,1,0]
210688:[-2,0,0,-2,1,1]
31744:[-1,0,0,-2,1,0]
97929:[0,0,-1,1,2,-2]
70912:[0,-1,0,-2,1,0]
702208:[-1,-2,0,-2,1,1]
179968:[0,0,0,-2,1,0]
270613:[-1,0,0,-1,1,2]
788736:[-1,0,0,-2,1,1]
279189:[-1,1,0,-1,1,2]
796617:[-2,-1,1,2,1,-1]
795648:[0,-1,0,-2,1,1]
342784:[0,1,0,-2,1,0]
628992:[0,0,0,-2,2,-2]
744448:[1,0,0,-2,1,0]
765184:[0,0,0,-2,1,1]
975616:[1,1,0,-2,1,0]
381657:[-1,-1,1,2,1,-1]
756661:[0,-1,0,-1,1,2]
444672:[1,1,0,-2,1,1]
28377:[0,0,0,-1,2,-2]
947200:[2,1,0,-2,1,1]
375193:[-1,0,1,2,1,-1]
103221:[0,0,0,-1,1,2]
984832:[2,2,0,-2,1,1]
390400:[2,1,0,-2,1,0]
28377:[0,0,0,1,2,-2]
186601:[0,-1,1,2,1,-1]
39861:[0,1,0,-1,1,2]
228133:[-1,-1,0,-1,1,1]
307881:[0,0,1,2,1,-1]
628992:[0,0,0,2,2,-2]
1893:[-1,0,0,-1,1,1]
896821:[0,2,0,-1,1,2]
228969:[0,1,1,2,1,-1]
159997:[-1,-1,0,-1,1,0]
97929:[0,0,1,-1,2,-2]
890361:[1,-1,1,2,1,-1]
20601:[0,0,1,0,2,-2]
613333:[1,1,0,-1,1,2]
