# Picard curves over Q(zeta_3):  y^3 = f(x),  f(x) = x^4 + (a2+b2*w)*x^2 + (a1+b1*w)*x + (a0+b0*w),  w = e^(2*pi*i/3)
# Output format:  N(disc(f)):[a0,b0,a1,b1,a2,b2]  where  N(disc(f)) = disc_re^2 - disc_re*disc_im + disc_im^2
107257:[-1,-1,-1,0,-1,-2]
13797:[0,0,0,1,-2,-1]
844032:[0,-1,0,2,-2,-2]
16041:[-1,0,-1,0,-1,-2]
258304:[0,0,0,-2,-2,0]
829696:[0,0,0,2,-2,-2]
613881:[0,-1,-1,0,-1,-2]
319744:[0,1,0,-2,-2,0]
86697:[0,0,-1,0,-1,-2]
104517:[0,1,0,1,-2,-1]
689421:[0,-1,0,1,-2,1]
654937:[0,1,-1,0,-1,-2]
426501:[1,-1,0,1,-2,-1]
7693:[0,0,0,1,-2,1]
397993:[1,0,-1,0,-1,-2]
543757:[1,0,0,1,-2,1]
203008:[1,-1,0,-2,-2,0]
792832:[1,-1,0,2,-2,-2]
792832:[1,0,0,-2,-2,0]
257637:[1,0,0,1,-2,-1]
817408:[1,1,0,-2,-2,0]
60249:[1,1,-1,0,-1,-2]
319744:[2,2,0,-2,-2,0]
221893:[1,1,0,1,-2,-1]
396544:[0,0,0,2,-2,1]
988825:[-1,-1,0,-1,-2,0]
626944:[1,0,0,2,-2,-2]
169077:[-2,-2,-1,1,-1,-2]
44857:[0,-1,0,-1,-2,0]
792453:[2,-1,0,1,-2,-1]
236329:[1,-1,1,-2,-2,1]
310528:[0,-1,0,2,-2,-1]
601941:[-1,-2,1,-1,-2,1]
556933:[-1,-1,-1,1,-1,-2]
954693:[-1,-1,1,-1,-2,1]
605973:[-1,0,-1,1,-1,-2]
544537:[-1,-1,1,-2,-2,-2]
917253:[0,-1,-1,1,-1,-2]
2617:[0,0,0,-1,-2,0]
456597:[0,0,-1,1,-1,-2]
255744:[0,0,0,2,-2,-1]
6421:[1,0,-1,1,-1,-2]
92725:[-1,0,1,-1,-2,1]
544537:[0,0,1,-2,-2,-2]
926373:[1,1,-1,1,-1,-2]
133141:[0,-1,1,-1,-2,1]
28672:[-2,-1,-2,-2,-1,-1]
622425:[-2,1,-1,2,-1,-2]
504576:[0,1,0,2,-2,-1]
554233:[-1,-1,-1,2,-1,-2]
522553:[0,1,0,-1,-2,0]
205317:[0,0,1,-1,-2,1]
59353:[1,-1,0,-1,-2,0]
74709:[1,0,1,-1,-2,1]
178425:[1,-1,-1,2,-1,-2]
59353:[1,0,0,-1,-2,0]
108841:[1,0,-1,2,-1,-2]
264613:[2,0,1,-1,-2,1]
335241:[-1,-1,1,-1,-2,-2]
21577:[-1,-1,1,0,-2,1]
774912:[-2,-2,0,-2,-1,-2]
791193:[-1,0,1,0,-2,1]
755968:[-1,-1,0,-2,-1,-2]
476793:[0,-1,1,0,-2,1]
347904:[0,-1,0,-2,-1,-2]
73177:[1,1,0,-1,-2,0]
249600:[0,-2,-2,-2,-1,-1]
7369:[0,0,1,0,-2,1]
836473:[2,0,0,-1,-2,0]
708601:[1,0,1,0,-2,1]
610153:[-1,0,1,-1,-2,-2]
213321:[1,1,1,0,-2,1]
668928:[1,0,0,2,-2,-1]
348025:[2,1,1,0,-2,1]
335241:[0,0,1,-1,-2,-2]
154624:[1,0,0,-2,-1,-2]
203776:[1,1,0,2,-2,-1]
560128:[0,-1,-2,-2,-1,-1]
345541:[-1,-1,1,1,-2,1]
411357:[-2,-2,0,-1,-1,-2]
711081:[1,0,1,-1,-2,-2]
747669:[0,-1,1,1,-2,1]
437913:[0,0,1,-2,-2,-1]
579328:[1,1,-2,-2,-1,-1]
1861:[0,0,1,1,-2,1]
447481:[-1,-2,1,0,-2,-2]
56601:[0,0,1,2,-2,1]
711837:[-2,-1,0,-1,-1,-2]
69433:[-1,-1,1,0,-2,-2]
679741:[-2,0,2,-1,-2,1]
51321:[-1,0,1,0,-2,-2]
148057:[1,1,1,-2,-2,-1]
136669:[-1,-1,0,-1,-1,-2]
910461:[0,-1,2,-1,-2,1]
858157:[-1,0,1,-1,-2,-1]
265629:[-1,0,0,-1,-1,-2]
272889:[0,-1,1,0,-2,-2]
596061:[-1,1,0,-1,-1,-2]
923392:[-1,-1,2,0,-2,1]
295168:[1,2,-2,-2,-1,-1]
69433:[0,0,1,0,-2,-2]
